geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
1252683,Sa-ssu-Ka-erh Shan,33.25,77.66667,T,Mountain Range,0.0,Unknown,10000,2.81,Less Explored
1252709,Yorjing Mountains,28.35555,94.40003,T,Mountain Range,30.0,Unknown,10000,2.81,Less Explored
1252727,Yerul,19.98333,75.15,T,Mountain,16.0,515,5000,2.79,Less Explored
1252780,Yarbo Po,27.7001,93.75513,T,Mountain,30.0,255,5000,2.79,Less Explored
1252809,Yakko,26.19419,94.91453,T,Mountain,20.0,267,5000,2.79,Less Explored
1252836,Woodmason Bay,11.41667,92.58333,H,Bay,0.0,Unknown,10000,2.81,Less Explored
1252837,Mount Wood,12.61667,92.91667,T,Mountain,1.0,639,5000,2.79,Less Explored
1252844,Wiringli Island,8.27813,73.01153,T,Island,14.0,587,10000,2.81,Less Explored
1252847,Cape Winifred,8.41667,93.6,T,Cape,1.0,Unknown,10000,2.81,Less Explored
1252849,Wilson Island,12.13333,92.98333,T,Island,1.0,Unknown,10000,2.81,Less Explored
1252853,Willingdon Island,9.93643,76.25383,T,Island,13.0,Unknown,10000,2.81,Less Explored
1252870,West Island,13.59093,92.89129,T,Island,1.0,639,10000,2.81,Less Explored
1252876,Western Ghats,14.0,75.0,T,Mountain Range,0.0,Unknown,10000,2.81,Less Explored
1252882,West Bay,10.6,92.36667,H,Bay,0.0,Unknown,10000,2.81,Less Explored
1252883,West Bay,7.91667,93.33333,H,Bay,0.0,Unknown,10000,2.81,Less Explored
1252988,Wallarpat Island,9.99941,76.24423,T,Island,13.0,Unknown,10000,2.81,Less Explored
1253072,Vypin Island,10.08333,76.21667,T,Island,13.0,Unknown,10000,2.81,Less Explored
1253149,Viper Island,11.66667,92.7,T,Island,1.0,Unknown,10000,2.81,Less Explored
1253158,Vindhya Range,24.61667,82.0,T,Mountain Range,0.0,Unknown,10000,2.81,Less Explored
1253159,Vindhyachal Range,25.15,81.25,T,Mountain Range,0.0,Unknown,10000,2.81,Less Explored
1253165,Vimanativu,9.96667,76.23333,T,Island,13.0,Unknown,10000,2.81,Less Explored
1253223,Vesava Island,19.13333,72.81667,T,Island,16.0,Unknown,10000,2.81,Less Explored
1253243,Venu,21.86667,69.75,T,Mountain,9.0,674,5000,2.79,Less Explored
1253262,Venduruthi Island,9.95,76.28333,T,Island,13.0,Unknown,10000,2.81,Less Explored
1253273,Vembadi Shola Peak,10.20504,77.40442,T,Mountain,25.0,612,5000,2.79,Less Explored
1253299,Velikonda Hills,14.62063,79.19871,T,Mountain Range,2.0,Unknown,10000,2.81,Less Explored
1253342,Vavulmala,11.42913,76.12982,T,Mountain,13.0,591,5000,2.79,Less Explored
1253365,Vashi Island,19.06667,72.98333,T,Island,16.0,Unknown,10000,2.81,Less Explored
1253421,Van Tivu,8.83887,78.20951,T,Island,25.0,627,10000,2.81,Less Explored
1253478,Vallanadu,8.71379,77.88515,T,Mountain,25.0,627,5000,2.79,Less Explored
1253714,Uppu Tanni Tivu,9.09033,78.49176,T,Island,25.0,Unknown,10000,2.81,Less Explored
1253764,Underi Island,18.70693,72.84212,T,Island,16.0,Unknown,10000,2.81,Less Explored
1253924,Uiphum Tlang,22.56244,92.58212,T,Mountain Range,31.0,Unknown,10000,2.81,Less Explored
1254041,Tura Range,25.45675,90.45473,T,Mountain Range,18.0,Unknown,10000,2.81,Less Explored
1254158,Trombay Peak,19.01667,72.91667,T,Mountain,16.0,518,5000,2.79,Less Explored
1254159,Trombay Island,19.03333,72.9,T,Island,16.0,Unknown,10000,2.81,Less Explored
1254166,Trisul,30.31278,79.77722,T,Mountain,39.0,057,5000,2.79,Less Explored
1254174,Trinkat Island,8.09594,93.5788,T,Island,1.0,638,10000,2.81,Less Explored
1254175,Trinkat Champlong Bay,7.21667,93.85,H,Bay,0.0,Unknown,10000,2.81,Less Explored
1254179,Trikut Parvat,24.49829,86.83686,T,Mountain,38.0,350,5000,2.79,Less Explored
1254193,Treis Island,7.47358,93.6481,T,Island,1.0,638,10000,2.81,Less Explored
1254194,Tree Island,11.59818,72.1867,T,Island,14.0,587,10000,2.81,Less Explored
1254201,Trak Island,7.4766,93.63283,T,Island,1.0,638,10000,2.81,Less Explored
1254293,Titvi,18.36667,73.01667,T,Mountain,16.0,520,5000,2.79,Less Explored
1254409,Tiring Pahar,21.96516,85.37851,T,Mountain,21.0,375,5000,2.79,Less Explored
1254437,Tinnakara Island,10.94709,72.3175,T,Island,14.0,587,10000,2.81,Less Explored
1254477,Tillanchang Dwip,8.5,93.61667,T,Island,1.0,Unknown,10000,2.81,Less Explored
1254567,Thualthu Tlang,22.78356,92.84255,T,Mountain Range,31.0,Unknown,10000,2.81,Less Explored
1254572,Thornhill Island,13.53453,92.90915,T,Island,1.0,639,10000,2.81,Less Explored
1254573,Thorang Tlang,23.25055,92.53986,T,Mountain Range,31.0,Unknown,10000,2.81,Less Explored
1254644,Thanthonitruttu Island,10.00812,76.25975,T,Island,13.0,Unknown,10000,2.81,Less Explored
1254653,Thangjing Hill,24.46687,93.66168,T,Mountain,17.0,274,5000,2.79,Less Explored
1254697,Thakurani Pahar,22.10093,85.43147,T,Mountain,21.0,375,5000,2.79,Less Explored
1254790,Tekra Island,22.93818,70.13417,T,Island,9.0,Unknown,10000,2.81,Less Explored
1254871,Tarmugli Island,11.58333,92.55,T,Island,1.0,Unknown,10000,2.81,Less Explored
1254894,Tarasa Dwip,8.2594,93.11565,T,Island,1.0,638,1934,2.79,Less Explored
1254974,Tani Razi,28.05,97.31667,T,Mountain,30.0,260,5000,2.79,Less Explored
1255091,Talun,27.65566,88.13011,T,Mountain,0.0,Unknown,5000,2.79,Less Explored
1255141,Tal Danda,27.20315,88.10627,T,Mountain,29.0,742,5000,2.79,Less Explored
1255164,Talang Mu,13.13333,92.83333,H,Bay,0.0,Unknown,10000,2.81,Less Explored
1255170,Talamalai,11.0784,78.32181,T,Mountain,25.0,609,5000,2.79,Less Explored
1255178,Talairi Tivu,9.18115,78.90417,T,Island,25.0,Unknown,10000,2.81,Less Explored
1255603,Strait Island,12.21588,92.93215,T,Island,1.0,639,10000,2.81,Less Explored
1255604,Cape Strachan,12.71667,92.96667,T,Cape,1.0,639,10000,2.81,Less Explored
1255606,Stewart Island,13.01667,92.93333,T,Island,1.0,Unknown,10000,2.81,Less Explored
1255618,Srivardhan Bay,18.03333,72.98333,H,Bay,0.0,Unknown,10000,2.81,Less Explored
